iter	Logloss
0	0.6849587549
1	0.6772907303
2	0.6705101664
3	0.6644070877
4	0.6592890154
5	0.654624314
6	0.6503771053
7	0.6464136901
8	0.6430857791
9	0.6401231047
10	0.6374310294
11	0.63500357
12	0.6325817157
13	0.6304718315
14	0.6286240109
15	0.626916039
16	0.6252045663
17	0.6239285988
18	0.6225083053
19	0.6213925675
20	0.6203100592
21	0.6192670429
22	0.6183729962
23	0.6175347211
24	0.6168056425
25	0.6161750076
26	0.6155631475
27	0.6150025447
28	0.614363477
29	0.6137840945
30	0.6133506793
31	0.6129067491
32	0.6124856901
33	0.6121212285
34	0.6117455106
35	0.6114191206
36	0.6110478527
37	0.6107919589
38	0.6106013939
39	0.6103492852
40	0.6101348515
41	0.60999399
42	0.6098006178
43	0.6095430707
44	0.6093273952
45	0.6091260087
46	0.6089104866
47	0.6087385228
48	0.6085802818
49	0.6084657488
50	0.6083232199
51	0.6081726041
52	0.6079612618
53	0.6078803104
54	0.607765163
55	0.6076821656
56	0.6075951536
57	0.6074660981
58	0.607393908
59	0.6072748034
60	0.6072200821
61	0.6071312201
62	0.6070281153
63	0.6069641737
64	0.6068083706
65	0.6067109512
66	0.6066182834
67	0.6065605294
68	0.6064982463
69	0.6064324397
70	0.6063527691
71	0.6062755145
72	0.6062070337
73	0.6061252583
74	0.6060492008
75	0.6059818943
76	0.6059276112
77	0.6058720243
78	0.6058277508
79	0.6057403246
80	0.6056633488
81	0.6056277341
82	0.6055571463
83	0.6054851028
84	0.6054150525
85	0.6053290915
86	0.6052889477
87	0.6052216799
88	0.6052053231
89	0.6051811895
90	0.6051303411
91	0.6050916563
92	0.6050399898
93	0.6049885433
94	0.6049368764
95	0.604892217
96	0.6048534743
97	0.6047898465
98	0.604748659
99	0.6047269581
100	0.6046662895
101	0.6046551222
102	0.604608166
103	0.6045931823
104	0.6045528984
105	0.6045264623
106	0.6044837686
107	0.6044528923
108	0.6044169582
109	0.604370941
110	0.6043331707
111	0.6042975133
112	0.6042643478
113	0.6042472219
114	0.6041931227
115	0.6041820228
116	0.6041570732
117	0.604094419
118	0.6040749934
119	0.604062915
120	0.604030328
121	0.60397483
122	0.6039487542
123	0.6039160534
124	0.6038834469
125	0.6038496005
126	0.6038207205
127	0.6037915973
128	0.6037669608
129	0.603726503
130	0.6036766454
131	0.6036370365
132	0.6036083868
133	0.6035628731
134	0.6035259785
135	0.603486067
136	0.6034391265
137	0.6034044225
138	0.6033932983
139	0.6033676809
140	0.6033464643
141	0.6032744149
142	0.6032624078
143	0.6032412695
144	0.6032322398
145	0.6032138218
146	0.6032033213
147	0.6031865722
148	0.6031493185
149	0.603117575
150	0.6031127779
151	0.6030923417
152	0.6030725237
153	0.6030657284
154	0.6030440345
155	0.6030270457
156	0.6030007424
157	0.6029619543
158	0.6029355585
159	0.6029078652
160	0.602892786
161	0.602866283
162	0.6028348008
163	0.6028339713
164	0.6028068135
165	0.602772003
166	0.6027487693
167	0.6027367266
168	0.6027246688
169	0.6026957191
170	0.60264799
171	0.6026002105
172	0.6025745499
173	0.6025426798
174	0.6025200272
175	0.6024772303
176	0.6024414018
177	0.6024219783
178	0.6024065796
179	0.6023626486
180	0.6023312875
181	0.602318234
182	0.6022852179
183	0.602239765
184	0.6022190972
185	0.602195905
186	0.6021612876
187	0.602151606
188	0.6021204321
189	0.6021158526
190	0.6020568091
191	0.6020272631
192	0.602001295
193	0.6019712077
194	0.601940125
