iter	Passed	Remaining
0	134	268285
1	253	252870
2	339	225685
3	528	263808
4	636	253913
5	732	243301
6	843	240141
7	957	238367
8	1088	240763
9	1186	236064
10	1308	236623
11	1428	236713
12	1530	233894
13	1646	233590
14	1738	230073
15	1837	227884
16	1925	224565
17	2081	229241
18	2241	233744
19	2332	230895
20	2439	229904
21	2553	229620
22	2653	228123
23	2744	225963
24	2867	226535
25	3024	229638
26	3142	229612
27	3390	238780
28	3593	244241
29	3807	250018
30	4143	263178
31	4286	263625
32	4388	261579
33	4485	259374
34	4579	257117
35	4706	256765
36	4803	254862
37	4899	252979
38	4992	251057
39	5092	249534
40	5180	247522
41	5261	245303
42	5344	243215
43	5431	241459
44	5531	240332
45	5625	238975
46	5708	237215
47	5793	235603
48	5895	234751
49	6000	234028
50	6090	232760
51	6187	231801
52	6279	230681
53	6389	230240
54	6532	231028
55	6627	230063
56	6719	229039
57	6806	227903
58	6927	227905
59	7036	227509
60	7125	226489
61	7221	225726
62	7314	224889
63	7401	223884
64	7494	223114
65	7591	222467
66	7689	221854
67	7782	221106
68	7864	220104
69	7964	219582
70	8052	218765
71	8145	218126
72	8232	217327
73	8325	216693
74	8413	215946
75	8499	215173
76	8580	214284
77	8673	213729
78	8818	214435
79	8960	215044
80	9090	215371
81	9192	215022
82	9293	214650
83	9385	214077
84	9471	213383
85	9567	212927
86	9655	212309
87	9740	211632
88	9836	211198
89	9901	210127
90	9997	209737
91	10090	209278
92	10178	208720
93	10252	207877
94	10338	207318
95	10424	206743
96	10513	206260
97	10604	205822
98	10699	205447
99	10776	204757
100	10867	204324
101	10978	204292
102	11071	203900
103	11153	203337
104	11241	202890
105	11345	202724
106	11442	202435
107	11547	202291
108	11644	202010
109	11749	201883
110	11855	201754
111	11975	201870
112	12082	201762
113	12177	201455
114	12271	201145
115	12370	200914
116	12468	200670
117	12567	200443
118	12653	200007
119	12739	199588
120	12826	199184
121	12928	199010
122	13023	198740
123	13137	198752
124	13249	198736
125	13345	198486
126	13435	198145
127	13532	197916
128	13656	198074
129	13753	197845
130	13846	197552
131	13945	197350
132	14028	196926
133	14119	196622
134	14228	196563
135	14329	196401
136	14446	196456
137	14550	196320
138	14648	196127
139	14754	196030
140	14856	195870
141	14962	195776
142	15063	195617
143	15170	195525
144	15258	195208
145	15363	195098
146	15477	195096
147	15574	194893
148	15658	194527
149	15756	194326
150	15859	194194
151	15958	194016
152	16048	193731
153	16118	193214
154	16204	192891
155	16295	192626
156	16392	192423
157	16493	192287
158	16583	192016
159	16677	191787
160	16768	191531
161	16864	191342
162	16959	191127
163	17001	190333
164	17087	190029
165	17177	189775
166	17269	189555
167	17358	189291
168	17450	189059
169	17555	188976
170	17673	189031
171	17765	188806
172	17856	188575
173	17980	188696
174	18140	189181
175	18252	189164
176	18350	188995
177	18451	188870
178	18544	188657
179	18639	188462
180	18737	188307
181	18829	188092
182	18923	187888
183	19020	187722
184	19126	187644
185	19232	187568
186	19323	187344
187	19408	187065
188	19494	186795
189	19550	186246
190	19644	186055
191	19743	185914
192	19853	185885
193	19954	185760
194	20045	185546
195	20125	185232
196	20204	184917
197	20325	184979
198	20422	184830
199	20515	184636
200	20606	184429
201	20692	184183
202	20784	183988
203	20892	183939
204	20996	183850
205	21086	183632
206	21180	183460
207	21274	183286
208	21373	183157
209	21464	182959
210	21558	182790
211	21652	182620
212	21745	182433
213	21839	182267
214	21948	182223
215	21992	181642
216	22104	181622
217	22212	181574
218	22345	181721
219	22520	182213
220	22704	182762
221	22866	183134
222	22985	183161
223	23076	182966
224	23173	182816
225	23355	183327
226	23492	183488
227	23608	183483
228	23710	183370
229	23828	183375
230	23937	183316
231	24032	183141
232	24130	182996
233	24232	182881
234	24360	182963
235	24500	183132
236	24598	182985
237	24688	182779
238	24860	183174
239	24994	183292
240	25118	183334
241	25234	183316
242	25514	184483
243	25647	184578
244	25759	184521
245	25870	184456
246	25972	184331
247	26070	184174
248	26186	184143
249	26286	184002
250	26387	183868
251	26488	183739
252	26614	183775
253	26709	183603
254	26813	183488
255	26909	183321
256	27024	183285
257	27135	183214
258	27230	183045
259	27321	182845
260	27420	182695
261	27556	182797
262	27658	182669
263	27849	183131
264	27960	183062
265	28053	182873
266	28151	182719
267	28248	182561
268	28356	182469
269	28458	182342
270	28557	182197
271	28654	182043
272	28749	181869
273	28897	182036
274	28995	181883
275	29097	181756
276	29205	181663
277	29335	181710
278	29444	181627
279	29543	181480
280	29645	181352
281	29745	181215
282	29843	181065
283	29955	180998
284	30055	180858
285	30159	180743
286	30257	180597
287	30356	180454
288	30451	180282
289	30538	180073
290	30635	179918
291	30737	179796
292	30848	179723
293	30964	179676
294	31099	179744
295	31197	179599
296	31298	179466
297	31412	179411
298	31555	179515
299	31648	179342
300	31752	179225
301	31854	179103
302	31959	178994
303	32062	178877
304	32158	178718
305	32253	178551
306	32359	178453
307	32462	178332
308	32562	178198
309	32686	178194
310	32801	178142
311	32917	178092
312	33018	177960
313	33127	177873
314	33253	177877
315	33373	177852
316	33497	177840
317	33603	177737
318	33737	177781
319	33854	177737
320	33959	177628
321	34074	177568
322	34194	177537
323	34301	177437
324	34403	177311
325	34514	177230
326	34612	177083
327	34717	176976
328	34820	176854
329	34919	176712
330	35018	176571
331	35114	176418
332	35214	176282
333	35311	176136
334	35411	176001
335	35524	175931
336	35629	175819
337	35729	175689
338	35833	175573
339	35941	175480
340	36062	175448
341	36153	175270
342	36244	175092
343	36334	174910
344	36427	174745
345	36511	174537
346	36598	174342
347	36692	174182
348	36787	174030
349	36893	173925
350	36987	173768
351	37079	173597
352	37174	173447
353	37262	173260
354	37340	173026
355	37430	172851
356	37525	172701
357	37618	172541
358	37716	172403
359	37833	172350
360	37964	172365
361	38056	172201
362	38153	172060
363	38265	171984
364	38346	171769
365	38447	171649
366	38543	171504
367	38633	171330
368	38714	171118
369	38805	170952
370	38900	170806
371	38997	170667
372	39100	170552
373	39205	170450
374	39300	170300
375	39393	170147
376	39483	169978
377	39577	169828
378	39677	169702
379	39787	169621
380	39888	169499
381	39990	169382
382	40086	169241
383	40186	169117
384	40274	168942
385	40367	168792
386	40489	168759
387	40583	168609
388	40673	168443
389	40774	168324
390	40875	168205
391	40975	168083
392	41069	167934
393	41167	167803
394	41268	167687
395	41357	167520
396	41457	167395
397	41545	167225
398	41635	167061
399	41731	166927
400	41822	166768
