segment,cluster,is_one_time,n_val,churn_rate_val_%,thr,f1_val,precision_val,recall_val,pos_rate_pred_val,how
0_ot0,0,0,3586,55.77244841048522,0.53,0.6665217391304348,0.5896153846153847,0.7665,0.7250418293363079,segment_f1
0_ot1,0,1,3832,63.93528183716075,0.64,0.675933280381255,0.6581593194122196,0.6946938775510204,0.6748434237995825,segment_f1
1_ot0,1,0,2175,51.03448275862069,0.42000000000000004,0.656140350877193,0.5373563218390804,0.8423423423423423,0.8,segment_f1
1_ot1,1,1,80,52.5,0.43,,,,,fallback_small_or_oneclass
2_ot0,2,0,3905,21.382842509603073,0.28,0.44142785319255906,0.3804159445407279,0.525748502994012,0.29551856594110115,segment_f1
3_ot0,3,0,1928,56.17219917012448,0.49,0.6965861143076333,0.5958005249343832,0.8384118190212373,0.7904564315352697,segment_f1
3_ot1,3,1,894,59.8434004474273,0.6,0.24561403508771928,0.5637583892617449,0.15700934579439252,0.16666666666666666,segment_f1
4_ot0,4,0,7610,30.420499342969777,0.27,0.5271534273349155,0.38943894389438943,0.8155507559395249,0.6370565045992116,segment_f1
5_ot0,5,0,295,46.779661016949156,0.37,,,,,fallback_small_or_oneclass
6_ot0,6,0,3326,58.65904990980157,0.49,0.7286922576447625,0.631578947368421,0.8610968733982574,0.7997594708358389,segment_f1
6_ot1,6,1,81,67.90123456790124,0.5,,,,,fallback_small_or_oneclass
